N° de la FEB,fr,ar,bg,chi,cs,da,de,el,en,es,es_XL,et,fa_IR,fi,he,hi,hr,hu,id,it,ja,ko,lt,lv,nl_NL,no,pl,pt_BR,pt_PT,ro,ru,sk,sl,sq,sr,sv,tr,uk,vi
20603_50,"Intempéries
à proximité","طقس شديد
تقترب","Лошо време
предстои","恶劣天气
即将来临","Špatné počasí
na trase","Voldsomt vejr
nærmer sig","Näherndes
Unwetter","Πλησιάζουν έντον
καιρικά φαινόμενα","Severe weather
approaching","Mal tiempo
acercándose","Mal clima
Acercándose","Halb ilm
läheneb","آب‌وهوای نامساعد
درحال نزدیک شدن","Haastava sää
lähestyy","מזג אוויר קשה
מתקרב","मौसम गंभीर
होने वाला है","Nevrijeme
približava se","Rossz időjárás
várható","Cuaca buruk
melanda","Maltempo
in avvicinamento","まもなく天候が
悪化します","악천후가
예상됩니다","Sudėt.
oro sąl.","Gaidāmi skarbi
laikapstākļi","In nabijheid van
onstuimig weer","Dårlig vær
nærmer seg","Zbliżająca się
trudna pogoda","Clima severo
ou se aproximando","Intempérie
mais à frente","Vreme severă
în apropiere","Суровая погода
наступает","Zlé počasie
sa blíži","Hude. vrem. razm.
v bližini","Mot i ashpër
përpara","Loše vreme
se približava","Dåligt väder
på väg","Kötü hava durumu
yaklaşıyor","Наближається
негода","Thời tiết xấu
đang đến gần"
20603_51,"Intempéries
à proximité","طقس شديد
تقترب","Лошо време
предстои","恶劣天气
即将来临","Špatné počasí
na trase","Voldsomt vejr
nærmer sig","Näherndes
Unwetter","Πλησιάζουν έντον
καιρικά φαινόμενα","Severe weather
approaching","Mal tiempo
acercándose","Mal clima
Acercándose","Halb ilm
läheneb","آب‌وهوای نامساعد
درحال نزدیک شدن","Haastava sää
lähestyy","מזג אוויר קשה
מתקרב","मौसम गंभीर
होने वाला है","Nevrijeme
približava se","Rossz időjárás
várható","Cuaca buruk
melanda","Maltempo
in avvicinamento","まもなく天候が
悪化します","악천후가
예상됩니다","Sudėt.
oro sąl.","Gaidāmi skarbi
laikapstākļi","In nabijheid van
onstuimig weer","Dårlig vær
nærmer seg","Zbliżająca się
trudna pogoda","Clima severo
ou se aproximando","Intempérie
mais à frente","Vreme severă
în apropiere","Суровая погода
наступает","Zlé počasie
sa blíži","Hude. vrem. razm.
v bližini","Mot i ashpër
përpara","Loše vreme
se približava","Dåligt väder
på väg","Kötü hava durumu
yaklaşıyor","Наближається
негода","Thời tiết xấu
đang đến gần"
20603_52,"Obstacle
à proximité","حاجز
تقترب","Препятствие
приближава","障碍
即将来临","Překážka
na trase","Forhindring
nærmer sig","Näherndes
Hindernis","Εμπόδιο
πλησιάζει","Obstacle
approaching","Obstáculo
acercadose","Obstáculo
aproximándose","Takistus
läheneb","مانع
درحال نزدیک شدن","Este
lähestyy","מכשול
מתקרב","अवरोध
होने वाला है","Prepreka
približava se","Akadály
várható","Rintangan
melanda","Ostacolo
in avvicinamento","障害物
悪化します","장애물
접근","Artėja
kliūtis","Šķērslis
laikapstākļi","In nabijheid van
obstakel(s)","Hinder
nærmer seg","Zbliżająca się
przeszkoda","Obstáculo
ou se aproximando","Obstáculo
mais à frente","Obstacol
în apropiere","Препятствие
наступает","Prekážka
sa blíži","Ovira
v bližini","Rrezik
përpara","Prepreka
se približava","Hinder
på väg","Engel
yaklaşıyor","Наближається
перешкода","Chướng ngại vật
đang đến gần"
20603_53,"Obstacle
à proximité","حاجز
تقترب","Препятствие
приближава","障碍
即将来临","Překážka
na trase","Forhindring
nærmer sig","Näherndes
Hindernis","Εμπόδιο
πλησιάζει","Obstacle
approaching","Obstáculo
acercadose","Obstáculo
aproximándose","Takistus
läheneb","مانع
درحال نزدیک شدن","Este
lähestyy","מכשול
מתקרב","अवरोध
होने वाला है","Prepreka
približava se","Akadály
várható","Rintangan
melanda","Ostacolo
in avvicinamento","障害物
悪化します","장애물
접근","Artėja
kliūtis","Šķērslis
laikapstākļi","In nabijheid van
obstakel(s)","Hinder
nærmer seg","Zbliżająca się
przeszkoda","Obstáculo
ou se aproximando","Obstáculo
mais à frente","Obstacol
în apropiere","Препятствие
наступает","Prekážka
sa blíži","Ovira
v bližini","Rrezik
përpara","Prepreka
se približava","Hinder
på väg","Engel
yaklaşıyor","Наближається
перешкода","Chướng ngại vật
đang đến gần"
20603_8,"Régul. adaptatif
déconnecté","فُصل التحكم في
السرعة التكيفية","Изкл.адаптивният
круиз контрол","自适应巡航
已断开","Adapt. tempomat
odpojen","Adaptiv cruise
frakoblet","Adapt. Geschwin-
digkeitsreg. aus","Adaptive cruise
ctl αποσυνδεμένο","Adaptive Cruise
Ctl Disconnected","Regulador Adapt.
desconectado","Ctrl cruc adapt
desconectado","Püsikiirusehoid.
väljas","کنترل حرکت
تطبیقی قطع شد","Mukautuva nopeus
ei kytketty","בקרת שיוט
אדפטיבית מנותקת","अनुकूलक क्रूज़
कंट्रोल बंद","Adapt. tempomat
odspojen","Adaptív seb.
szabályozó KI","Cruise Control
Adaptif Dilepas","Cruise Control
adattivo deselez.","ｱﾀﾞﾌﾟﾃｨﾌﾞｸﾙｰｽﾞ
ct 切断","어댑티브 크루즈 컨트롤이
작동 정지되었습니다","Prisitaik.navig.
įrang. atjungta","Adapt. kruīza
kont. atvienota","Adaptieve regel.
niet beschikbaar","Adaptiv cruise.
cont. frakoblet","Tempomat adapt.
wyłączony","Piloto auto.
adapt. desativ.","Regul. adaptat.
desligado","Tempomat adapt.
deconectat","Адаптивный круиз
контроль откл.","Adaptívny tempom
odpojený","Prilag.Regulator
izklopljen","Rreg. p
u shk","Adapt. tempomat
isključen","Adaptiv farth.
urkopplad","Uyarl. regülatör
devre dışı","Адапт.круїз-кнт
вимкнений","K.soát h.trình
c.đg ngắt k.nối"
20603_9,Vitesse invalide,سرعة غير صالحة,грешна скорост,无效车速,Neplatná rychl.,Ugyldig Hast.,"Geschwindigkeit
ungültig","Μη έγκυρη
ταχύτητα",Invalid Speed,Veloc. no válida,Veloc. invalida,Vale kiirus,سرعت نامعتبر,Nop. ei sallittu,מהירות לא תקינה,अमान्य गति,Brzina netočna,Hibás érték,Cepat Tak Valid,Velocità non valida,無効な速度,기준 속도 미달,Blogas greitis,Nederīgs ātrums,Snelh. ongeldig,Ugyldig hast.,Błąd prędkości,"Velocidade
inválida",Veloc. inválida,Viteză invalidă,Скорость неверна,Chybná rýchlosť,Neveljavna hitr.,Shpejt. pavlef.,Pogrešna brzina,Hastigh. ogiltig,Geçersiz hız,Невідпов. швидк,Sai Tốc độ
20606_10,Alerte distance,تحذير المسافة,Индик. дистанция,距离报警,Sled vzdálenosti,Afstandsvarsel,Abstandswarner,Προειδ.απόστασης,Distance warning,Alerta distancia,Adv. distancia,Vahemaa hoiatus,اخطار فاصله,Etäisyysvaroitus,אזהרת מרחק,दूरी चेतावनी,Upo. udaljenosti,Követő rendszer,Peringatan berjarak,Allarme distanza,車間警告,차간거리경보장치,Nuot.įspėjimas,Attāl. brīdin.,Afstand waarsch.,Avstans varsel,Alarm zbliżania,Seguim. distânc.,Distância veíc.,Alarmă distanţă,Контроля дистан.,sled vzdialenost,Nadzor razdalje,Lajmërim distanc,Alarm distance,Avståndsvarning,Mesafe takibi,Поруш. дистанції,Cảnh báo khoảng cách
20606_12,Alerte distance,تحذير المسافة,Индик. дистанция,距离报警,Sled vzdálenosti,Afstandsvarsel,Abstandswarner,Προειδ.απόστασης,Distance warning,Alerta distancia,Adv. distancia,Vahemaa hoiatus,اخطار فاصله,Etäisyysvaroitus,אזהרת מרחק,दूरी चेतावनी,Upo. udaljenosti,Követő rendszer,Peringatan berjarak,Allarme distanza,車間警告,차간거리경보장치,Nuot.įspėjimas,Attāl. brīdin.,Afstand waarsch.,Avstans varsel,Alarm zbliżania,Seguim. distânc.,Distância veíc.,Alarmă distanţă,Контроля дистан.,sled vzdialenost,Nadzor razdalje,Lajmërim distanc,Alarm distance,Avståndsvarning,Mesafe takibi,Поруш. дистанції,Cảnh báo khoảng cách
20606_13,Safety moniteur,Safety مراقب,Safety монитор,Safety 监视器,Safety monitor,Safety overvåg,Safety Monitor,Safety μόνιτορ,Safety monitor,Safety monitor,Safety monitor,"Safety
jälgige",Safety کنترل,Safety seuranta,Safety לפקח,Safety निगरानी,Safety nadgledanj,Safety monitor,Safety monitor,Safety monitor,Safety モニター,Safety 모니터,Safety monit.,Safety monitors,Safety monitor,Safety Overvåking,Safety monitor,Safety monitor,Safety monitor,Safety monitor,Safety монитор,Safety monitor,Safety monitor,Safety kujdes,Safety монитор,"Safety
Övervakning",Safety izleme,Safety монітор,Safety theo dõi
20606_14,"Surveiller la
vitesse","راقب
السرعة","Наблюдавайте
скоростта",监控速度,"Sledujte
rychlost","Overvåg
hastigheden","Geschwindigkeit
überwachen","Παρακολουθήστε
την ταχύτητα","Monitor the
speed","Controlar
la velocidad","Control de
velocidad","Jälgige
kiirust","مراقب سرعت
باشید","Tarkkaile
nopeutta","עקוב אחר
המהירות","गति की निगरानी
करें","Pratite
brzinu","Figyelje a
sebességet","Monitor
kecepatan","Controlla la
velocità",速度を監視する,"속도를
확인하십시오","Stebėkite
greitį","Vērojiet
ātrumu","Controleer
de snelheid","Overvåk
hastigheten","Obserwuj
prędkość","Monitore
a velocidade","Monitorize a
velocidade","Monitorizați
viteza","Отслеживать
скорость","Sledujte
rýchlosť","Spremljajte
hitrost","Monitoroni
shpejtësinë","Pratiti
brzinu","Kontrollera
hastigheten","Hızı
izleyin","Відстежуйте
швидкість","Giám sát
tốc độ"
20606_15,"Respecter les
distances","الانتباه
للمسافة","Спазвай
дистанция","保持
距离","Respektujte
bezp. vzdálenost","Respekter
afstandene","Abstände
beachten","Τηρείτε
τις αποστάσεις","Respect
the distances","Respetar
las distancias","Respetar
las distancias","Hoidke
pikivahet","فاصله ها را
رعایت کنید","Pidä riittävä
turvaväli","תכבד את
המרחקים","दुरी का
पालन करें","Poštivajte
udaljenosti","Ügyeljen a
távolságra","Jaga
jarak","Rispetta
le distanze","車間距離を
あけましょう","차간 거리를
유지하십시오","Gerbkite
atstumus","Ievērojiet
attālumus","Respecteer
de afstand","Respekter
avstandene","Zachowaj
dystans","Respeite a
distância","Respeitar as
distâncias","Respectați
distanțele","Держитесь
расстояния","Rešpektujte
vzdialenosť","Spoštovanje
razdalje","Respektoni
distancat","Поштујте
одстојање","Håll avstånd
Respektera","Mesafeye
riayet et","Дотримуйтесь
дистанції","Kính trọng
khoảng cách"
20606_16,"Ralentir avant
les virages","اخفض السرعة
قبل الانعطاف","Намалете
преди завоите","转弯前
减速","Před zatáčkou
snižte rychlost","Reduce hastighed
før sving","Geschw. verring.
vor Kurven","Μειώστε ταχύτητα
πριν τις στροφές","Reduce speed
before turns","Reducir velocidad
antes de girar","Reduzca la vel.
antes de girar","Vähendage kiirust
enne pöördeid","کاهش سرعت
قبل از گردش","Vähennä nopeutta
ennen mutkia","הורד מהירות
לפני פנייה","टर्न से पहले
स्पीड कम करें","Smanjite brzinu
prije zavoja","Lassítson a
kanyarok előtt","Kurangikecepatan
sebelum berbelok","Ridurre velocità
prima svoltare","カーブの前では
減速しましょう","회전 전에
감속하십시오","Mažinti greitį
prieš posūkį","Samaz. Ātrumu
pirms pagriez.","Verminder snel-
heid voor bocht.","Reduser fart
før svinger","Zwolnij
przed zakrętami","Reduzir veloc.
antes de curvas","Abrandar
antes de curvar","Reduce viteza
înainte de viraj","Снизить скорость
до поворота","Pred zákrutou
znížte rýchlosť","Zmanjšaj hitrost
pred zavoji","Ulni shpejtësinë
para kthesave","Smanjite brzinu
pre krivina","Sänk farten
före kurvan","Dönüşlerden
önce hızı düşür","Знизити швидк.
до повороту","Giảm tốc độ
trước khi rẽ"
20606_17,"Utiliser
les clignotants","استخدم
المؤشرات","Използвайте
индикаторите","使用
方向灯","Použijte
ukazatele směru","Brug
indikatorer","Indikatoren
verwenden","Χρησιμοποιήστε
φλας","Use
indicators","Uso
indicadores","Utilice las
luces de giro","Kasutage
suunatulesid","استفاده
راهنما","Käytä
suuntavilkkuja","השתמש
במחוונים","इंडीकेटर का
इस्तेमाल करें","Koristite
pokaz. smjera","Használja
az indexet","Gunakan
indikator","Utilizzare
indicatori","ウインカーを
使いましょう","사용
표시기","Naudokite
indikatorius","Lietojiet
indikatorus","Gebruik
knipperlicht","Bruk
blinklys","Używaj
kierunkowskazów","Usar a seta de
de direção","Utilizar os
pisca-piscas","Utilizaţi lumini
de drum","Использовать
индикаторы","Použite
signalizáciu","Uporaba
smernikov","Përdorni
sinjalizuesit","Koristite
pokazivač pravca","Använd
blinkers","Sinyalleri
kullanınız","Використати
індикатори","Sử dụng
các đèn báo"
20606_18,Rester vigilant,تبقى يقظة,Останете бдителни,保持警惕,Zůstaňte pozorní,Vær opmærksom,Wachsam bleiben,"Μείνετε σε
επαγρύπνηση",Remain vigilant,Permanece alerta,"Permanecer
alerta",Püsige valvel,مراقب خود باشید,Pysy valppaana,הישאר על המשמר,सतर्क रहें,Ostanite oprezni,Legyen éber,Tetap Waspada,Rimani vigile,警戒を怠らないでください,경계를 늦추지 마십시오,Išlik budrus,Esiet modrs,Blijf waakzaam,Vær på vakt,Bądź czujny,"Mantenha-se
vigilante","Mantenha-se
vigilante",Rămâneți atent,Будьте бдительны,Buďte ostražití,Ostanite pozorni,"Qëndroni të
vëmendshëm","Ostanite na
oprezu",Förbli vaksam,Dikkatli olun,Будьте пильними,Luôn cảnh giác
